trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-146.27325246010156,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,19,-12.065137688412156,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.985}",30,4,-27.943598499779718,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.98}",35,3,-73.54038107001207,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-38.33078482634678,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,9,-3.5816646507221277,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-98.52813281065593,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-55.823880533221754,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",30,12,21.139267211712248,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.95}",30,2,-19.398611071114217,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-20.415137060336296,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-39.23072679232662,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,10,-26.019447678412135,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,0,-18.25992132516036,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,0,-94.3071386036057,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,9,-32.02892716589524,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-63.580714322532074,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,7,-29.567466600551274,"{0: 10, 1: 1, 2: 0, 3: 2, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-168.23202530819333,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-1.343923557864225,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
