trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.998}",25,0,-276.91305698167145,"{0: 7, 1: 6, 2: 7, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.996}",25,0,-165.36750876661918,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.994}",25,0,-95.86055397475226,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.992}",20,0,-72.51952152406857,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.99}",25,0,-28.5120271816994,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.988}",20,0,-50.343120955744034,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.986}",25,0,-149.13118500783796,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.984}",30,0,-101.28038764876914,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.982}",30,0,-184.60979531473708,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.98}",20,0,-99.51461396335472,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.978}",20,0,-45.71474936175067,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.976}",20,0,-108.63642078947419,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.974}",20,7,-66.18679381488708,"{0: 6, 1: 1, 2: 5, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.972}",25,0,-205.24446615498766,"{0: 14, 1: 2, 2: 3, 3: 3, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.97}",30,0,-286.6710341179689,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 5}",0
16,False,"{'a': 0.5, 'e': 0.968}",25,6,-120.6501709243028,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.966}",20,0,-82.19496227305414,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.964}",25,0,-131.23057885516897,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.962}",20,0,-81.65432121892424,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.96}",20,2,-95.46215521374454,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 1}",1
