trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-225.5224501400644,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-73.77213964823943,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985}",25,0,-85.0528910921937,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",25,3,-126.8599066645052,"{0: 10, 1: 6, 2: 3, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.975}",20,1,-144.9052099325778,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-122.8003458486445,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,12,-74.35813944400783,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.96}",30,0,-225.48700329159615,"{0: 17, 1: 2, 2: 5, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-122.17351745726928,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",25,0,-120.56086306076098,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
